Website,Title,Price,Date,Time
Flipkart,"GOVO GOKIXX 620 Bluetooth Neckband, 20H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",2023-10-03,17:40:08
Flipkart,"GOVO GOKIXX 621 Bluetooth Neckband|22H Battery-Fast Charge,ENC & Smart Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",2023-10-03,17:40:09
Flipkart,,,2023-10-03,17:40:09
Flipkart,,,2023-10-03,17:40:09
Flipkart,,,2023-10-03,17:40:09
Flipkart,,,2023-10-03,17:40:10
Flipkart,"GOVO GOSURROUND 410 Max 2.0 Channel Soundbar with HDMI|AUX|USB|OPT & LED Display 40 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,499",2023-10-03,17:40:10
Flipkart,,,2023-10-03,17:40:10
Flipkart,"GOVO GOSURROUND 610 | 100W Bluetooth Soundbar | 2.1 Channel with Wired Subwoofer 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹4,999",2023-10-03,17:40:11
Flipkart,,,2023-10-03,17:40:11
Flipkart,,,2023-10-03,17:40:11
Flipkart,"GOVO GOSURROUND 920|200W Bluetooth Soundbar|2.1 Channel with 6.5'' Wireless Subwoofer 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹7,599",2023-10-03,17:40:12
Flipkart,,,2023-10-03,17:40:12
Flipkart,,,2023-10-03,17:40:13
Flipkart,,,2023-10-03,17:40:13
Flipkart,"GOVO GOSURROUND 750 | 120W Bluetooth Soundbar|2.1 Channel with 5.25'' Wired Subwoofer 120 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,999",2023-10-03,17:40:14
Govolife,GoBass 400,₹299,2023-10-03,17:40:14
Govolife,GoBass 410,₹259,2023-10-03,17:40:15
Govolife,GoBass 411,₹349,2023-10-03,17:40:16
Govolife,GoBass 411,₹349,2023-10-03,17:40:17
Govolife,GoBass 411,₹349,2023-10-03,17:40:18
Govolife,GoSurround 750,"₹5,499",2023-10-03,17:40:19
Govolife,,,2023-10-03,17:40:19
Govolife,,,2023-10-03,17:40:20
Govolife,,,2023-10-03,17:40:20
Govolife,GoBass 610,₹399,2023-10-03,17:40:21
Govolife,GoBass 900,₹549,2023-10-03,17:40:21
Govolife,GoBass 910,₹399,2023-10-03,17:40:22
Govolife,GoBold 400,"₹1,099",2023-10-03,17:40:23
Govolife,GoBold 410,"₹1,099",2023-10-03,17:40:24
Govolife,GoBold 600,"₹1,299",2023-10-03,17:40:25
Govolife,,,2023-10-03,17:40:25
Govolife,GoBuds 400,₹999,2023-10-03,17:40:26
Govolife,GoBuds 410,"₹1,099",2023-10-03,17:40:27
Govolife,GoBuds 600,"₹1,299",2023-10-03,17:40:28
Govolife,GoBuds 621,"₹1,699",2023-10-03,17:40:29
Govolife,,,2023-10-03,17:40:29
Govolife,GoBuds 901,"₹1,599",2023-10-03,17:40:30
Govolife,GoBuds 902,"₹1,999",2023-10-03,17:40:31
Govolife,,,2023-10-03,17:40:32
Govolife,GoCrush 410,₹999,2023-10-03,17:40:32
Govolife,GoCrush 421,₹999,2023-10-03,17:40:33
Govolife,GoCrush 900,"₹2,499",2023-10-03,17:40:34
Govolife,GoKixx 400,₹699,2023-10-03,17:40:35
Govolife,GoKixx 410,₹699,2023-10-03,17:40:36
Govolife,GoKixx 421,₹749,2023-10-03,17:40:37
Govolife,GoKixx 610,₹799,2023-10-03,17:40:38
Govolife,GoKixx 620,₹899,2023-10-03,17:40:39
Govolife,GoKixx 621,₹899,2023-10-03,17:40:40
Govolife,GoKixx 630,₹899,2023-10-03,17:40:40
Govolife,GoKixx 651,"₹1,199",2023-10-03,17:40:41
Govolife,GOKIXX 652,"₹1,199",2023-10-03,17:40:42
Govolife,GoKixx 900,₹999,2023-10-03,17:40:43
Govolife,,,2023-10-03,17:40:43
Govolife,,,2023-10-03,17:40:44
Govolife,,,2023-10-03,17:40:44
Govolife,,,2023-10-03,17:40:45
Govolife,,,2023-10-03,17:40:45
Govolife,,,2023-10-03,17:40:45
Govolife,,,2023-10-03,17:40:46
Govolife,,,2023-10-03,17:40:46
Govolife,GoKixx 621,₹899,2023-10-03,17:40:47
Govolife,,,2023-10-03,17:40:48
Govolife,GoSurround 950,"₹9,999",2023-10-03,17:40:48
Govolife,GoBuds 945,"₹1,199",2023-10-03,17:40:49
Nyka.com,GOVO GOBASS 400 in-Ear Wired Earphones 3D Bass HD Mic Passive Noise Cancellation (Platinum Black)(Free Size),₹399,2023-10-03,17:40:50
Nyka.com,GOVO GOBASS 410 in-Ear Wired Earphones 3D Bass HD Mic Passive Noise Cancellation (Platinum Black)(Free Size),₹1149,2023-10-03,17:40:50
Nyka.com,GOVO GOBASS 900 in-Ear Wired Earphones 3D Sound Super Bass and HD Mic (Black)(Free Size),₹1399,2023-10-03,17:40:50
Nyka.com,GOVO GOBASS 910 in-Ear Wired Earphones 3D Sound Magnetic Earbuds and HD mic (Black)(Free Size),₹549,2023-10-03,17:40:51
Nyka.com,GOVO GOBUDS 400 TWS Earbuds 3D Stereo Sound 20 Hrs Battery Life IPX5 Touch Control (Platinum Black)(Free Size),₹1099,2023-10-03,17:40:51
Nyka.com,GOVO GOBUDS 600 TWS Earbuds 3D Stereo Sound 33 Hrs Battery IPX5 Super Touch Control (Black)(Free Size),₹1299,2023-10-03,17:40:51
Nyka.com,GOVO GOBUDS 920 TWS Earbuds 30 Hours Battery Life IPX5 BT v5.1 Super Touch Control (Platinum Black)(Free Size),₹2499,2023-10-03,17:40:52
Nyka.com,GOVO GOKIXX 400 in-Ear Wireless Neckband with Magnetic Earbuds 8 Hrs Playtime IPX5 (Platinum Black)(Free Size),₹699,2023-10-03,17:40:52
Nyka.com,GOVO GOKIXX 410 in-Ear Neckband with Magnetic Earbuds 3D Stereo 8 Hrs Playtime (Platinum Black)(Free Size),₹769,2023-10-03,17:40:52
Nyka.com,GOVO GOKIXX 421 in-Ear Neckband with Magnetic Earbuds 10 Hrs+ Playtime IPX5 (Platinum Black)(Free Size),₹699,2023-10-03,17:40:53
Nyka.com,GOVO GOKIXX 610 in-Ear Neckband with Metallic and Magnetic Earbuds 12H Playtime IPX5 (Black)(Free Size),₹799,2023-10-03,17:40:53
Nyka.com,GOVO GOKIXX 620 Wireless Neckband Magnetic buds 3D Surround 20 H Playtime IPX5 (Platinum Black)(Free Size),₹799,2023-10-03,17:40:54
Nyka.com,GOVO GOKIXX 630 in-Ear Neckband with Magnetic Earbuds 10 Hrs+ Playtime IPX5 (Platinum Black)(Free Size),₹899,2023-10-03,17:40:54
Nyka.com,GOVO GOKIXX 900 in-Ear Neckband with Magnetic Earbuds 3D Surround 12H Playtime IPX5 (Black)(Free Size),₹899,2023-10-03,17:40:54
Nyka.com,GOVO GOCRUSH 410 Portable BT Speaker 4W sound 15 Hrs Playtime IPX7 ABS fabric (Platinum Black)(Free Size),₹1699,2023-10-03,17:40:55
Nyka.com,GOVO GOCRUSH 421 Portable BT Speaker 5W sound 15 Hrs Playtime IPX7 ABD fabric (Platinum Black)(Free Size),₹1699,2023-10-03,17:40:55
Nyka.com,GOVO GOCRUSH 900 Wireless Speaker 24W Explosive sound 15H Playtime IPX7 ABS Fabric (Black)(Free Size),₹3499,2023-10-03,17:40:55
Nyka Fashion,GOBASS 410 in-Ear Wired Earphones 3D Bass HD Mic Passive Noise Cancellation (Platinum Black),₹701,2023-10-03,17:40:56
Nyka Fashion,GOBASS 400 in-Ear Wired Earphones 3D Bass HD Mic Passive Noise Cancellation (Platinum Black),₹504,2023-10-03,17:40:56
Nyka Fashion,GOBASS 610 in-Ear Wired Earphones with HD-Mic Powerful Bass Hammer Design (Platinum Black),₹806,2023-10-03,17:40:56
Nyka Fashion,GOBASS 900 in-Ear Wired Earphones 3D Sound Super Bass and HD Mic (Black),₹854,2023-10-03,17:40:57
Nyka Fashion,GOBASS 910 in-Ear Wired Earphones 3D Sound Magnetic Earbuds and HD mic (Black),₹854,2023-10-03,17:40:57
Nyka Fashion,GOBUDS 400 TWS Earbuds 3D Stereo Sound 20 Hrs Battery Life IPX5 Touch Control (Platinum Black),"₹2,310",2023-10-03,17:40:57
Nyka Fashion,GOBUDS 600 TWS Earbuds 3D Stereo Sound 33 Hrs Battery IPX5 Super Touch Control (Black),"₹2,613",2023-10-03,17:40:58
Nyka Fashion,GOBUDS 920 TWS Earbuds 30 Hours Battery Life IPX5 BT v5.1 Super Touch Control (Platinum Black),"₹4,788",2023-10-03,17:40:58
Nyka Fashion,GOKIXX 400 in-Ear Wireless Neckband with Magnetic Earbuds 8 Hrs Playtime IPX5 (Platinum Black),₹699,2023-10-03,17:40:58
Nyka Fashion,GOKIXX 410 in-Ear Neckband with Magnetic Earbuds 3D Stereo 8 Hrs Playtime (Platinum Black),"₹2,607",2023-10-03,17:40:59
Nyka Fashion,GOKIXX 421 in-Ear Neckband with Magnetic Earbuds 10 Hrs+ Playtime IPX5 (Platinum Black),"₹2,607",2023-10-03,17:40:59
Nyka Fashion,GOKIXX 610 in-Ear Neckband with Metallic and Magnetic Earbuds 12H Playtime IPX5 (Black),"₹3,002",2023-10-03,17:40:59
Nyka Fashion,GOKIXX 620 Wireless Neckband Magnetic buds 3D Surround 20 H Playtime IPX5 (Platinum Black),"₹3,002",2023-10-03,17:41:00
Nyka Fashion,GOKIXX 900 in-Ear Neckband with Magnetic Earbuds 3D Surround 12H Playtime IPX5 (Black),"₹3,040",2023-10-03,17:41:00
Nyka Fashion,GOCRUSH 410 Portable BT Speaker 4W sound 15 Hrs Playtime IPX7 ABS fabric (Platinum Black),"₹2,800",2023-10-03,17:41:00
Nyka Fashion,GOCRUSH 421 Portable BT Speaker 5W sound 15 Hrs Playtime IPX7 ABD fabric (Platinum Black),"₹3,285",2023-10-03,17:41:01
Nyka Fashion,GOCRUSH 900 Wireless Speaker 24W Explosive sound 15H Playtime IPX7 ABS Fabric (Black),"₹4,480",2023-10-03,17:41:01
Jiomart,"Govo GoBass 410 Wired Earphone with Super Bass,Passive noise cancellation, HD microphone, Multifunction control, Black",,2023-10-03,17:41:02
Jiomart,"Govo GoBass 610 Wired Earphone with Super Bass, Black",,2023-10-03,17:41:02
Jiomart,"Govo GoBass 910 Wired Earphone with Super Bass, Black",,2023-10-03,17:41:02
Jiomart,"GOVO GoBuds 600 True Wireless Bluetooth Earbuds with Up to 33 Hour Battery Life, Platinum Black",,2023-10-03,17:41:03
Jiomart,"GOVO GoBuds 920 True Wireless Bluetooth Earbuds with Upto 30 Hour Battery Life, Platinum Black",,2023-10-03,17:41:03
Jiomart,"Govo GOKIXX 410 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black",,2023-10-03,17:41:04
Jiomart,"Govo GOKIXX 610 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black",,2023-10-03,17:41:04
Jiomart,"Govo GOKIXX 620 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black",,2023-10-03,17:41:05
Jiomart,"Govo GOKIXX 900 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Gun Metal Grey",,2023-10-03,17:41:06
Jiomart,"Govo GoCrush 410 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black",,2023-10-03,17:41:06
Jiomart,"Govo GoCrush 421 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black",,2023-10-03,17:41:06
Jiomart,"GOVO Go Buds 900 True Wireless Earbuds with Up to 20 Hours Playback, Black",,2023-10-03,17:41:07
RelianceDigital,"Govo GoBass 410 Wired Earphone with Super Bass,Passive noise cancellation, HD microphone, Multifunction control, Black(493072621)",Offer Price:  ₹289.00,2023-10-03,17:41:08
RelianceDigital,"Govo GoBass 610 Wired Earphone with Super Bass, Black(493072622)",Deal Price:  ₹399.00,2023-10-03,17:41:08
RelianceDigital,"Govo GoBass 910 Wired Earphone with Super Bass, Black(493072624)",Offer Price:  ₹399.00,2023-10-03,17:41:09
RelianceDigital,"GOVO GoBuds 600 True Wireless Bluetooth Earbuds with Up to 33 Hour Battery Life, Platinum Black(493072611)","Offer Price:  ₹1,599.00",2023-10-03,17:41:09
RelianceDigital,"GOVO GoBuds 920 True Wireless Bluetooth Earbuds with Upto 30 Hour Battery Life, Platinum Black(493072613)","Deal Price:  ₹1,943.00",2023-10-03,17:41:11
RelianceDigital,"Govo GOKIXX 410 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072614)",Offer Price:  ₹879.00,2023-10-03,17:41:14
RelianceDigital,"Govo GOKIXX 610 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072616)","Offer Price:  ₹1,399.00",2023-10-03,17:41:18
RelianceDigital,"Govo GOKIXX 620 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072617)","Offer Price:  ₹1,029.00",2023-10-03,17:41:20
RelianceDigital,"Govo GOKIXX 900 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Gun Metal Grey(493072619)","Offer Price:  ₹1,179.00",2023-10-03,17:41:20
RelianceDigital,"Govo GoCrush 410 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black(493072625)","Offer Price:  ₹1,419.00",2023-10-03,17:41:21
RelianceDigital,"Govo GoCrush 421 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black(493072626)","Offer Price:  ₹1,679.00",2023-10-03,17:41:23
RelianceDigital,"GOVO Go Buds 900 True Wireless Earbuds with Up to 20 Hours Playback, Black(493072612)","Offer Price:  ₹1,469.00",2023-10-03,17:41:24
Flipkart,"GOVO GOBASS 410 in Ear Earphones with Mic, 3D Bass with XL Drivers & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹290,2023-10-04,10:55:01
Flipkart,"GOVO GOBASS 400 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹399,2023-10-04,10:55:02
Flipkart,,,2023-10-04,10:55:02
Flipkart,"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (Blue, In the Ear)",,2023-10-04,10:55:02
Flipkart,"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (White, In the Ear)",,2023-10-04,10:55:03
Flipkart,"GOVO GOBASS 610 in-Ear Earphones with 12mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹400,2023-10-04,10:55:03
Flipkart,"GOVO GOBASS 900 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹549,2023-10-04,10:55:04
Flipkart,"GOVO GOBASS 910 Wired Metal Earphones with 9mm Drivers,Tangle Free cable & 3.5mm Jack Wired Headset  (Gun Metal Gray, In the Ear)",₹549,2023-10-04,10:55:04
Flipkart,"GOVO GOBOLD 400 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-10-04,10:55:05
Flipkart,"GOVO GOBOLD 410 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-10-04,10:55:05
Flipkart,"GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-10-04,10:55:05
Flipkart,"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-10-04,10:55:06
Flipkart,"GOVO GOBUDS 400 True Wireless in Ear Earbuds, ENC, 25H Playtime, Fast Charge,Type C Bluetooth Headset  (Platinum Black, True Wireless)",₹899,2023-10-04,10:55:06
Flipkart,"GOVO GOBUDS 410 True Wireless in Ear Earbuds, 20 Hours Battery,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,599",2023-10-04,10:55:07
Flipkart,"GOVO GOBUDS 600 True Wireless Earbuds,ENC,40H Playtime,Fast Charge,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,699",2023-10-04,10:55:07
Flipkart,"GOVO GOBUDS 621 True Wireless in Ear Earbuds, 20 Hours Battery, Fast Charge & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,999",2023-10-04,10:55:08
Flipkart,"GOVO GOBUDS 901 Bluetooth Headset  (Platinum Black, True Wireless)",,2023-10-04,10:55:08
Flipkart,"GOVO GOBUDS 920 True Wireless Earbuds, 30H Battery, Fast Charge ,IPX5 & Dual pairing Bluetooth Headset  (Platinum Black, True Wireless)","₹1,899",2023-10-04,10:55:09
Flipkart,"GOVO GOCRUSH 410 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 4 W Bluetooth Speaker  (Platinum Black, Stereo Channel)",₹949,2023-10-04,10:55:09
Flipkart,"GOVO GOCRUSH 421 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 5 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,099",2023-10-04,10:55:10
Flipkart,"GOVO GOCRUSH 900 - Bluetooth Speaker, 3600mAh - 25H Battery, IPX7, ABS Fabric 16 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹3,299",2023-10-04,10:55:10
Flipkart,"GOVO GOKIXX 400 Bluetooth Neckband, 9H Battery, 10mm Drivers, Magnetic buds, Type C Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",2023-10-04,10:55:11
Flipkart,"GOVO GOKIXX 410 Bluetooth Neckband, 8H battery, 10mm Drivers, IPX5, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",2023-10-04,10:55:11
Flipkart,"GOVO GOKIXX 421 Bluetooth Neckband, 10H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)",₹899,2023-10-04,10:55:12
Flipkart,"GOVO GOKIXX 610 Bluetooth Neckband, 12H Battery, Magnetic Buds,
 Lightweight Design Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",2023-10-04,10:55:12
Flipkart,"GOVO GOKIXX 620 Bluetooth Neckband, 20H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",2023-10-04,10:55:12
